period,global_period,date,top4_zodiacs,bet_numbers,bet_count,actual,actual_animal,is_hit,is_hit_number,is_hit_animal,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,model_used
82,347,2026/1/15,"['猴', '鼠', '狗', '兔']","[1, 4, 9, 11, 13, 16, 21, 23, 25, 28, 33, 35, 37, 40, 45, 47, 49]",17,31,猪,False,False,False,0,2,2.0,34.0,-34.0,733.0,733.0,集成投票模型(v10 + 优化版)
83,348,2026/1/16,"['猴', '鼠', '兔', '狗']","[1, 4, 9, 11, 13, 16, 21, 23, 25, 28, 33, 35, 37, 40, 45, 47, 49]",17,6,鼠,False,False,True,0,3,4.0,68.0,-68.0,665.0,665.0,集成投票模型(v10 + 优化版)
84,349,2026/1/17,"['猴', '兔', '狗', '虎']","[3, 4, 9, 11, 15, 16, 21, 23, 27, 28, 33, 35, 39, 40, 45, 47]",16,32,狗,False,False,True,0,4,6.0,96.0,-96.0,569.0,569.0,集成投票模型(v10 + 优化版)
85,350,2026/1/18,"['猴', '虎', '兔', '马']","[3, 4, 7, 9, 15, 16, 19, 21, 27, 28, 31, 33, 39, 40, 43, 45]",16,39,兔,True,True,True,1,0,8.0,128.0,248.0,817.0,817.0,集成投票模型(v10 + 优化版)
86,351,2026/1/19,"['猴', '虎', '鼠', '马']","[1, 3, 7, 9, 13, 15, 19, 21, 25, 27, 31, 33, 37, 39, 43, 45, 49]",17,46,猴,False,False,True,0,1,0.5,8.5,-8.5,808.5,808.5,集成投票模型(v10 + 优化版)
87,352,2026/1/20,"['鼠', '虎', '马', '狗']","[1, 3, 7, 11, 13, 15, 19, 23, 25, 27, 31, 35, 37, 39, 43, 47, 49]",17,12,马,False,False,True,0,2,2.0,34.0,-34.0,774.5,774.5,集成投票模型(v10 + 优化版)
88,353,2026/1/21,"['鼠', '虎', '狗', '牛']","[1, 2, 3, 11, 13, 14, 15, 23, 25, 26, 27, 35, 37, 38, 39, 47, 49]",17,42,鼠,False,False,True,0,3,4.0,68.0,-68.0,706.5,706.5,集成投票模型(v10 + 优化版)
89,354,2026/1/22,"['虎', '狗', '牛', '猴']","[2, 3, 9, 11, 14, 15, 21, 23, 26, 27, 33, 35, 38, 39, 45, 47]",16,18,鼠,False,False,False,0,4,6.0,96.0,-96.0,610.5,610.5,集成投票模型(v10 + 优化版)
90,355,2026/1/23,"['虎', '狗', '牛', '猴']","[2, 3, 9, 11, 14, 15, 21, 23, 26, 27, 33, 35, 38, 39, 45, 47]",16,47,羊,True,True,False,1,0,8.0,128.0,248.0,858.5,858.5,集成投票模型(v10 + 优化版)
91,356,2026/1/24,"['虎', '猪', '狗', '兔']","[3, 4, 11, 12, 15, 16, 23, 24, 27, 28, 35, 36, 39, 40, 47, 48]",16,28,虎,True,True,True,2,0,0.5,8.0,15.5,874.0,874.0,集成投票模型(v10 + 优化版)
92,357,2026/1/25,"['猴', '狗', '兔', '猪']","[4, 9, 11, 12, 16, 21, 23, 24, 28, 33, 35, 36, 40, 45, 47, 48]",16,37,蛇,False,False,False,0,1,0.5,8.0,-8.0,866.0,866.0,集成投票模型(v10 + 优化版)
93,358,2026/1/26,"['牛', '猴', '猪', '狗']","[2, 9, 11, 12, 14, 21, 23, 24, 26, 33, 35, 36, 38, 45, 47, 48]",16,19,猪,False,False,True,0,2,2.0,32.0,-32.0,834.0,834.0,集成投票模型(v10 + 优化版)
94,359,2026/1/27,"['牛', '狗', '猴', '马']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,45,鸡,True,True,False,1,0,4.0,64.0,124.0,958.0,958.0,集成投票模型(v10 + 优化版)
95,360,2026/1/28,"['牛', '狗', '猴', '马']","[2, 7, 9, 11, 14, 19, 21, 23, 26, 31, 33, 35, 38, 43, 45, 47]",16,3,兔,False,False,False,0,1,0.5,8.0,-8.0,950.0,950.0,集成投票模型(v10 + 优化版)
96,361,2026/1/29,"['牛', '狗', '龙', '猴']","[2, 5, 9, 11, 14, 17, 21, 23, 26, 29, 33, 35, 38, 41, 45, 47]",16,1,蛇,False,False,False,0,2,2.0,32.0,-32.0,918.0,918.0,集成投票模型(v10 + 优化版)
97,362,2026/1/30,"['狗', '牛', '龙', '马']","[2, 5, 7, 11, 14, 17, 19, 23, 26, 29, 31, 35, 38, 41, 43, 47]",16,41,牛,True,True,True,1,0,4.0,64.0,124.0,1042.0,1042.0,集成投票模型(v10 + 优化版)
98,363,2026/1/31,"['狗', '龙', '猴', '马']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,26,龙,False,False,True,0,1,0.5,8.0,-8.0,1034.0,1034.0,集成投票模型(v10 + 优化版)
99,364,2026/2/1,"['狗', '马', '猴', '虎']","[3, 7, 9, 11, 15, 19, 21, 23, 27, 31, 33, 35, 39, 43, 45, 47]",16,6,鼠,False,False,False,0,2,2.0,32.0,-32.0,1002.0,1002.0,集成投票模型(v10 + 优化版)
100,365,2026/2/2,"['马', '猴', '狗', '虎']","[3, 7, 9, 11, 15, 19, 21, 23, 27, 31, 33, 35, 39, 43, 45, 47]",16,41,牛,False,False,False,0,3,4.0,64.0,-64.0,938.0,938.0,集成投票模型(v10 + 优化版)
