total_bet,total_win,balance,roi,max_drawdown,boost_periods,reduce_periods,hit_count,hit_rate,lookback,good_threshold,bad_threshold,boost_multiplier,reduce_multiplier,reward_risk_ratio
7654.5,10311.800000000001,2657.2999999999997,34.71552681429224,603.0,41,62,69,34.5,15,0.45,0.3,1.3,0.8,0.05747603777200702
8005.5,10781.8,2776.3,34.67990756355006,592.6,51,26,69,34.5,8,0.45,0.2,1.5,0.8,0.05842302487120967
8005.5,10781.8,2776.3,34.67990756355006,592.6,51,26,69,34.5,8,0.4,0.2,1.5,0.8,0.05842302487120967
7924.5,10669.000000000002,2744.4999999999995,34.633099880118614,666.0,41,25,69,34.5,15,0.45,0.25,1.3,0.8,0.051923687976189827
7924.5,10669.000000000002,2744.4999999999995,34.633099880118614,666.0,41,25,69,34.5,15,0.45,0.2,1.3,0.8,0.051923687976189827
7479.0,10067.399999999994,2588.400000000001,34.60890493381469,580.8000000000001,51,81,69,34.5,8,0.4,0.3,1.2,0.8,0.059485914289815554
7479.0,10067.399999999994,2588.400000000001,34.60890493381469,580.8000000000001,51,81,69,34.5,8,0.45,0.25,1.2,0.8,0.059485914289815554
7479.0,10067.399999999994,2588.400000000001,34.60890493381469,580.8000000000001,51,81,69,34.5,8,0.4,0.25,1.2,0.8,0.059485914289815554
7479.0,10067.399999999994,2588.400000000001,34.60890493381469,580.8000000000001,51,81,69,34.5,8,0.45,0.3,1.2,0.8,0.059485914289815554
7987.5,10748.900000000001,2761.3999999999996,34.57151799687011,605.0999999999999,81,62,69,34.5,15,0.35,0.3,1.3,0.8,0.05703929714052155
7987.5,10748.900000000001,2761.3999999999996,34.57151799687011,605.0999999999999,81,62,69,34.5,15,0.4,0.3,1.3,0.8,0.05703929714052155
7677.0,10330.599999999995,2653.600000000001,34.56558551517521,608.2,48,47,69,34.5,10,0.45,0.25,1.2,0.8,0.056739306492408416
7677.0,10330.599999999995,2653.600000000001,34.56558551517521,608.2,48,47,69,34.5,10,0.45,0.2,1.2,0.8,0.056739306492408416
7567.5,10180.200000000003,2612.7,34.52527254707631,580.4,51,81,69,34.5,8,0.45,0.25,1.3,0.8,0.05938299371702152
7567.5,10180.200000000003,2612.7,34.52527254707631,580.4,51,81,69,34.5,8,0.45,0.3,1.3,0.8,0.05938299371702152
7567.5,10180.200000000003,2612.7,34.52527254707631,580.4,51,81,69,34.5,8,0.4,0.25,1.3,0.8,0.05938299371702152
7567.5,10180.200000000003,2612.7,34.52527254707631,580.4,51,81,69,34.5,8,0.4,0.3,1.3,0.8,0.05938299371702152
8257.5,11106.100000000004,2848.5999999999995,34.497123826824094,668.0999999999999,81,25,69,34.5,15,0.35,0.2,1.3,0.8,0.051557500862089524
8257.5,11106.100000000004,2848.5999999999995,34.497123826824094,668.0999999999999,81,25,69,34.5,15,0.4,0.25,1.3,0.8,0.051557500862089524
8257.5,11106.100000000004,2848.5999999999995,34.497123826824094,668.0999999999999,81,25,69,34.5,15,0.4,0.2,1.3,0.8,0.051557500862089524
8257.5,11106.100000000004,2848.5999999999995,34.497123826824094,668.0999999999999,81,25,69,34.5,15,0.35,0.25,1.3,0.8,0.051557500862089524
8055.0,10828.799999999992,2773.8000000000015,34.43575418994415,573.4000000000001,112,26,69,34.5,8,0.35,0.2,1.2,0.8,0.05995082553959635
7902.0,10622.000000000002,2719.9999999999995,34.42166540116426,677.6,42,26,69,34.5,12,0.45,0.2,1.3,0.8,0.050724529032072294
7575.0,10180.199999999995,2605.200000000001,34.39207920792081,629.6,42,61,69,34.5,12,0.45,0.3,1.2,0.8,0.054538660336062174
7575.0,10180.199999999995,2605.200000000001,34.39207920792081,629.6,42,61,69,34.5,12,0.45,0.25,1.2,0.8,0.054538660336062174
7771.5,10443.400000000003,2671.8999999999996,34.380750176928515,614.0,48,47,69,34.5,10,0.45,0.25,1.3,0.8,0.05590365882427401
