total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8707.5,11844.0,3136.5,36.020671834625325,766.0,51,69,34.5,8,0.38,1.5,0.04696306627721685
8707.5,11844.0,3136.5,36.020671834625325,766.0,51,69,34.5,8,0.45,1.5,0.04696306627721685
8448.75,11491.5,3042.75,36.01420328450954,775.0,41,69,34.5,15,0.42,1.25,0.04641005577900714
8448.75,11491.5,3042.75,36.01420328450954,775.0,41,69,34.5,15,0.45,1.25,0.04641005577900714
8501.25,11562.0,3060.75,36.00352889280988,782.5,48,69,34.5,10,0.45,1.25,0.04595217471960419
8501.25,11562.0,3060.75,36.00352889280988,782.5,48,69,34.5,10,0.5,1.25,0.04595217471960419
8501.25,11562.0,3060.75,36.00352889280988,782.5,48,69,34.5,10,0.42,1.25,0.04595217471960419
8634.0,11740.599999999995,3106.6000000000013,35.98100532777393,775.0,81,69,34.5,15,0.4,1.2,0.04636727490692517
8634.0,11740.599999999995,3106.6000000000013,35.98100532777393,775.0,81,69,34.5,15,0.38,1.2,0.04636727490692517
8634.0,11740.599999999995,3106.6000000000013,35.98100532777393,775.0,81,69,34.5,15,0.35,1.2,0.04636727490692517
8634.0,11738.249999999993,3104.250000000002,35.95378735232803,752.0999999999999,112,69,34.5,8,0.35,1.15,0.047741053448848804
8391.0,11406.899999999996,3015.900000000001,35.94208080085807,781.5,42,69,34.5,12,0.42,1.15,0.04593237163048955
8391.0,11406.899999999996,3015.900000000001,35.94208080085807,781.5,42,69,34.5,12,0.5,1.15,0.04593237163048955
8391.0,11406.899999999996,3015.900000000001,35.94208080085807,781.5,42,69,34.5,12,0.45,1.15,0.04593237163048955
8485.5,11533.800000000003,3048.2999999999993,35.923634435213,776.4,41,69,34.5,15,0.45,1.3,0.046209974833049915
8485.5,11533.800000000003,3048.2999999999993,35.923634435213,776.4,41,69,34.5,15,0.42,1.3,0.046209974833049915
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.42,1.15,0.0469004288226304
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.38,1.15,0.0469004288226304
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.45,1.15,0.0469004288226304
