period,date,top_n,zodiacs,actual,is_hit,cost,profit,cumulative_profit,consecutive_misses,reason
117,2025/8/27,4,"['牛', '马', '猴', '猪']",龙,False,16,-16,-486,1,正常投注TOP4
118,2025/8/28,5,"['牛', '马', '猴', '虎', '兔']",猴,True,20,26,-460,0,连续1期不中，增加到TOP5
119,2025/8/29,4,"['牛', '马', '猪', '虎']",虎,True,16,30,-430,0,正常投注TOP4
120,2025/8/30,4,"['牛', '马', '鸡', '猪']",虎,False,16,-16,-446,1,正常投注TOP4
121,2025/8/31,5,"['牛', '马', '鸡', '猪', '虎']",蛇,False,20,-20,-466,2,连续1期不中，增加到TOP5
122,2025/9/1,6,"['牛', '马', '鸡', '猪', '虎', '兔']",猴,False,24,-24,-490,3,连续2期不中，增加到TOP6
123,2025/9/2,7,"['牛', '马', '鸡', '猪', '虎', '兔', '蛇']",狗,False,28,-28,-518,4,连续3期不中，增加到TOP7
124,2025/9/3,8,"['牛', '马', '鸡', '羊', '虎', '兔', '蛇', '狗']",马,True,32,14,-504,0,连续4期不中，增加到TOP8
125,2025/9/4,4,"['牛', '羊', '鸡', '猪']",狗,False,16,-16,-520,1,正常投注TOP4
126,2025/9/5,5,"['牛', '鸡', '羊', '鼠', '狗']",鼠,True,20,26,-494,0,连续1期不中，增加到TOP5
127,2025/9/6,4,"['牛', '羊', '鸡', '猪']",蛇,False,16,-16,-510,1,正常投注TOP4
