period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
134,24,"[6, 3, 2, 9, 5, 46, 48, 4, 26, 13, 17, 7, 49, 10, 24]",True,False,1,15,47,32,1772,0,0,conservative,False
135,49,"[4, 3, 6, 2, 9, 46, 48, 13, 26, 17, 5, 7, 10, 49, 27]",True,False,1,15,47,32,1804,0,0,conservative,False
136,7,"[4, 3, 6, 9, 2, 44, 46, 48, 17, 13, 5, 7, 26, 1, 10]",True,False,1,15,47,32,1836,0,0,conservative,False
137,11,"[4, 1, 3, 6, 9, 44, 46, 48, 17, 13, 2, 5, 26, 10, 8]",False,False,1,15,0,-15,1821,1,0,conservative,False
138,41,"[4, 1, 3, 6, 9, 44, 8, 48, 13, 2, 16, 5, 26, 10, 27]",False,False,1,15,0,-15,1806,2,0,conservative,False
139,24,"[4, 8, 3, 1, 6, 13, 48, 9, 2, 16, 44, 26, 5, 10, 22]",False,False,2,30,0,-30,1776,3,0,conservative,False
140,23,"[4, 8, 1, 6, 3, 13, 48, 9, 16, 44, 2, 26, 5, 10, 22]",False,False,3,45,0,-45,1731,4,0,conservative,False
141,26,"[4, 8, 1, 6, 3, 49, 48, 16, 44, 2, 26, 13, 22, 5, 27]",True,False,5,75,235,160,1891,0,0,conservative,False
142,12,"[4, 8, 16, 22, 1, 27, 30, 17, 13, 12, 44, 49, 21, 38, 15]",True,False,1,15,47,32,1923,0,0,conservative,False
143,26,"[4, 8, 16, 1, 27, 22, 30, 11, 17, 13, 44, 49, 21, 38, 15]",False,False,1,15,0,-15,1908,1,0,conservative,False
144,29,"[4, 8, 16, 1, 27, 17, 22, 30, 11, 49, 13, np.int64(24), 21, 38, 15]",False,False,1,15,0,-15,1893,2,0,conservative,False
145,22,"[24, 8, 4, 16, 1, 27, 22, 30, 11, 49, 13, 14, 38, 15, np.int64(7)]",True,False,2,30,94,64,1957,0,0,conservative,False
146,9,"[24, 8, 16, 4, 1, 27, 23, 30, 11, 13, 49, 14, 38, 15, np.int64(7)]",False,False,1,15,0,-15,1942,1,0,conservative,False
147,45,"[24, 16, 4, 27, 23, 11, 30, 3, 13, 49, 1, 14, 15, np.int64(8), np.int64(7)]",False,False,1,15,0,-15,1927,2,0,conservative,False
148,43,"[24, 16, 4, 23, 11, 30, 3, 12, 49, 13, 1, 27, np.int64(7), np.int64(8), 15]",False,False,2,30,0,-30,1897,3,0,conservative,False
149,13,"[4, 16, 24, 26, 23, 11, 3, 30, 49, 12, 1, 13, 27, np.int64(7), 15]",True,False,3,45,141,96,1993,0,0,conservative,False
150,41,"[24, 16, 4, 26, 11, 23, 12, 30, 49, 1, 29, 14, 27, np.int64(7), np.int64(22)]",False,False,1,15,0,-15,1978,1,0,conservative,False
151,21,"[22, 24, 16, 26, 11, 23, 49, 4, 12, 1, 29, 30, 14, np.int64(7), 27]",False,False,1,15,0,-15,1963,2,0,conservative,False
152,28,"[22, 24, 26, 11, 23, 12, 1, 4, 49, 16, 29, 30, 14, 27, 15]",False,False,2,30,0,-30,1933,3,0,conservative,False
153,27,"[24, 22, 26, 23, 12, 30, 1, 4, 49, 29, 16, 11, 14, 15, 17]",False,False,3,45,0,-45,1888,4,0,conservative,False
154,11,"[24, 22, 26, 23, 30, 1, 12, 3, 4, 16, 29, 49, 11, 14, 15]",True,False,5,75,235,160,2048,0,0,conservative,False
155,11,"[24, 22, 13, 26, 23, 30, 12, 1, 29, 16, 7, 49, 14, 15, np.int64(9)]",False,False,1,15,0,-15,2033,1,0,conservative,False
156,1,"[24, 22, 26, 16, 12, 30, 23, 1, 29, 13, 7, 41, 49, 14, np.int64(9)]",True,False,1,15,47,32,2065,0,0,conservative,False
