================================================================================
 生肖TOP4投注策略回测 - 集成优化系统（带自动恢复止损）
================================================================================
回测期数: 200 期
基础投注: 16元/期
命中奖励: 45元
止损规则: 连续失败 3 期暂停
恢复规则: 预测命中 OR 连续暂停 8 期后自动恢复
================================================================================

第103期 2025/11/3 | 预测: 猪,鸡,蛇,龙              | 实际: 狗  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:    +67元 | ROI:  +5.05%
第104期 2025/11/4 | 预测: 猪,蛇,鸡,龙              | 实际: 兔  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:    +67元 | ROI:  +5.05%
第105期 2025/11/5 | 预测: 猪,蛇,鸡,虎              | 实际: 鼠  | 投注:    0元 | [PAUSE] 暂停投注(第2期，本期未中)                   | 余额:    +67元 | ROI:  +5.05%
第106期 2025/11/6 | 预测: 猪,蛇,鸡,虎              | 实际: 虎  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:    +67元 | ROI:  +5.05%
第107期 2025/11/7 | 预测: 猪,蛇,鸡,龙              | 实际: 蛇  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:    +96元 | ROI:  +7.14%
第108期 2025/11/8 | 预测: 猪,鸡,龙,羊              | 实际: 龙  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   +125元 | ROI:  +9.19%
第109期 2025/11/9 | 预测: 猪,鸡,羊,马              | 实际: 龙  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +109元 | ROI:  +7.92%
第110期 2025/11/10 | 预测: 鸡,猪,羊,马              | 实际: 羊  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +138元 | ROI:  +9.91%
第111期 2025/11/11 | 预测: 鸡,猪,蛇,马              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +122元 | ROI:  +8.66%
第112期 2025/11/12 | 预测: 鸡,猪,马,蛇              | 实际: 马  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +151元 | ROI: +10.60%
第113期 2025/11/13 | 预测: 鸡,猪,蛇,兔              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +135元 | ROI:  +9.38%
第114期 2025/11/14 | 预测: 鸡,猪,猴,蛇              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +119元 | ROI:  +8.17%
第115期 2025/11/15 | 预测: 鸡,猪,猴,蛇              | 实际: 鸡  | 投注:   32元 | [HIT] 命中 +58元 (连胜1)                      | 余额:   +177元 | ROI: +11.90%
第116期 2025/11/16 | 预测: 猪,猴,蛇,兔              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +161元 | ROI: +10.70%
第117期 2025/11/17 | 预测: 猪,猴,蛇,兔              | 实际: 羊  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +145元 | ROI:  +9.54%
