lookback,good_thresh,bad_thresh,boost_mult,reduce_mult,hits,hit_rate,total_bet,total_win,balance,roi,max_drawdown,hit_10x_count,roi_improve,drawdown_reduce,score
10,0.3,0.2,1.5,0.7,99,33.0,12670.5,15213.900000000001,2543.4,20.07339883982479,384.0,8,4.973398839824791,391.0,83.38802906100588
10,0.3,0.25,1.5,0.7,99,33.0,12670.5,15213.900000000001,2543.4,20.07339883982479,384.0,8,4.973398839824791,391.0,83.38802906100588
15,0.45,0.25,1.3,0.6,99,33.0,10449.0,12426.800000000005,1977.7999999999993,18.928127093501764,332.0,8,3.828127093501765,443.0,82.51312537888373
15,0.45,0.2,1.3,0.6,99,33.0,10449.0,12426.800000000005,1977.7999999999993,18.928127093501764,332.0,8,3.828127093501765,443.0,82.51312537888373
12,0.35,0.25,1.1,0.6,99,33.0,9612.0,11505.600000000008,1893.6000000000008,19.700374531835216,375.2,4,4.600374531835216,399.8,82.05315327641352
12,0.4,0.25,1.1,0.6,99,33.0,9612.0,11505.600000000008,1893.6000000000008,19.700374531835216,375.2,4,4.600374531835216,399.8,82.05315327641352
10,0.3,0.15,1.3,0.6,99,33.0,12097.5,14532.400000000014,2434.899999999999,20.127299028724938,405.50000000000006,13,5.027299028724938,369.49999999999994,80.97079040599723
15,0.35,0.2,1.3,0.6,99,33.0,10875.0,12972.000000000007,2096.999999999999,19.28275862068965,367.70000000000005,9,4.182758620689649,407.29999999999995,80.25522692616515
15,0.4,0.2,1.3,0.6,99,33.0,10875.0,12972.000000000007,2096.999999999999,19.28275862068965,367.70000000000005,9,4.182758620689649,407.29999999999995,80.25522692616515
15,0.4,0.25,1.3,0.6,99,33.0,10875.0,12972.000000000007,2096.999999999999,19.28275862068965,367.70000000000005,9,4.182758620689649,407.29999999999995,80.25522692616515
15,0.35,0.25,1.3,0.6,99,33.0,10875.0,12972.000000000007,2096.999999999999,19.28275862068965,367.70000000000005,9,4.182758620689649,407.29999999999995,80.25522692616515
12,0.45,0.25,1.1,0.6,99,33.0,9477.0,11294.100000000006,1817.1000000000006,19.17378917378918,362.9,4,4.073789173789182,412.1,80.15292979864658
8,0.35,0.25,1.3,0.6,99,33.0,9831.0,11679.500000000013,1848.4999999999986,18.8027667582138,345.5,2,3.7027667582137997,429.5,79.94098899906597
8,0.3,0.25,1.3,0.6,99,33.0,9831.0,11679.500000000013,1848.4999999999986,18.8027667582138,345.5,2,3.7027667582137997,429.5,79.94098899906597
8,0.35,0.25,1.5,0.7,99,33.0,11193.0,13319.800000000003,2126.8,19.001161440185832,360.5,2,3.9011614401858328,414.5,79.31937719413817
8,0.3,0.25,1.5,0.7,99,33.0,11193.0,13319.800000000003,2126.8,19.001161440185832,360.5,2,3.9011614401858328,414.5,79.31937719413817
10,0.45,0.2,1.2,0.6,99,33.0,9873.0,11721.799999999997,1848.8000000000009,18.72581788716703,353.0,3,3.6258178871670292,422.0,78.46365189108693
10,0.45,0.25,1.2,0.6,99,33.0,9873.0,11721.799999999997,1848.8000000000009,18.72581788716703,353.0,3,3.6258178871670292,422.0,78.46365189108693
12,0.35,0.2,1.5,0.6,99,33.0,11160.0,13442.0,2282.0,20.448028673835125,448.0,6,5.348028673835126,327.0,77.61095682309099
12,0.4,0.2,1.5,0.6,99,33.0,11160.0,13442.0,2282.0,20.448028673835125,448.0,6,5.348028673835126,327.0,77.61095682309099
12,0.45,0.2,1.5,0.6,99,33.0,10545.0,12572.5,2027.5,19.227121858700805,386.5,4,4.127121858700805,388.5,77.4609650971427
10,0.3,0.25,1.1,0.6,99,33.0,10174.5,12088.400000000012,1913.900000000001,18.810752371123897,372.5999999999999,3,3.710752371123897,402.4000000000001,76.49709965922685
10,0.3,0.2,1.1,0.6,99,33.0,10174.5,12088.400000000012,1913.900000000001,18.810752371123897,372.5999999999999,3,3.710752371123897,402.4000000000001,76.49709965922685
12,0.3,0.25,1.3,0.7,99,33.0,11206.5,13432.600000000011,2226.099999999999,19.864364431356794,437.2999999999999,9,4.764364431356794,337.7000000000001,75.1262758752533
10,0.4,0.15,1.3,0.6,99,33.0,11358.0,13625.30000000001,2267.2999999999993,19.962141222046128,447.3,11,4.862141222046128,327.7,74.48348170976928
10,0.35,0.15,1.3,0.6,99,33.0,11358.0,13625.30000000001,2267.2999999999993,19.962141222046128,447.3,11,4.862141222046128,327.7,74.48348170976928
10,0.45,0.15,1.3,0.6,99,33.0,10872.0,12887.400000000005,2015.3999999999992,18.53752759381898,375.3,8,3.437527593818979,399.7,74.33927695116179
15,0.45,0.15,1.3,0.6,99,33.0,11205.0,13272.800000000005,2067.7999999999993,18.45426149040606,374.0,14,3.3542614904060617,401.0,73.95558773821574
8,0.35,0.15,1.5,0.8,99,33.0,12414.0,14828.5,2414.5,19.449814725310134,425.5,5,4.349814725310134,349.5,73.90349422871483
8,0.3,0.2,1.5,0.8,99,33.0,12414.0,14828.5,2414.5,19.449814725310134,425.5,5,4.349814725310134,349.5,73.90349422871483
8,0.3,0.15,1.5,0.8,99,33.0,12414.0,14828.5,2414.5,19.449814725310134,425.5,5,4.349814725310134,349.5,73.90349422871483
8,0.35,0.2,1.5,0.8,99,33.0,12414.0,14828.5,2414.5,19.449814725310134,425.5,5,4.349814725310134,349.5,73.90349422871483
8,0.45,0.15,1.5,0.7,99,33.0,10933.5,13183.5,2250.0,20.578954589106875,483.5,3,5.478954589106875,291.5,73.89737070333543
8,0.45,0.2,1.5,0.7,99,33.0,10933.5,13183.5,2250.0,20.578954589106875,483.5,3,5.478954589106875,291.5,73.89737070333543
8,0.4,0.15,1.5,0.7,99,33.0,10933.5,13183.5,2250.0,20.578954589106875,483.5,3,5.478954589106875,291.5,73.89737070333543
8,0.4,0.2,1.5,0.7,99,33.0,10933.5,13183.5,2250.0,20.578954589106875,483.5,3,5.478954589106875,291.5,73.89737070333543
10,0.3,0.15,1.2,0.6,99,33.0,11592.0,13827.399999999989,2235.400000000001,19.28398895790201,418.8,8,4.183988957902011,356.2,73.66982646762708
10,0.35,0.25,1.1,0.6,99,33.0,9924.0,11773.50000000001,1849.5000000000011,18.636638452237012,387.5,3,3.5366384522370122,387.5,73.42144670355637
10,0.4,0.25,1.1,0.6,99,33.0,9924.0,11773.50000000001,1849.5000000000011,18.636638452237012,387.5,3,3.5366384522370122,387.5,73.42144670355637
10,0.4,0.2,1.1,0.6,99,33.0,9924.0,11773.50000000001,1849.5000000000011,18.636638452237012,387.5,3,3.5366384522370122,387.5,73.42144670355637
10,0.35,0.2,1.1,0.6,99,33.0,9924.0,11773.50000000001,1849.5000000000011,18.636638452237012,387.5,3,3.5366384522370122,387.5,73.42144670355637
15,0.3,0.2,1.5,0.6,99,33.0,12021.0,14335.0,2314.0,19.24964645204226,421.0,11,4.14964645204226,354.0,73.15852168624441
