period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
78,2025/7/17,"['猪', '狗', '蛇', '羊']",猪,True,30,-190,0
79,2025/7/18,"['狗', '虎', '蛇', '羊']",猴,False,-16,-206,1
80,2025/7/19,"['狗', '蛇', '虎', '羊']",羊,True,30,-176,0
81,2025/7/20,"['狗', '蛇', '猪', '虎']",羊,False,-16,-192,1
82,2025/7/21,"['狗', '蛇', '猪', '虎']",狗,True,30,-162,0
83,2025/7/22,"['蛇', '猪', '虎', '猴']",鼠,False,-16,-178,1
84,2025/7/25,"['龙', '猪', '虎', '猴']",鼠,False,-16,-194,2
85,2025/7/26,"['虎', '猪', '兔', '猴']",蛇,False,-16,-210,3
86,2025/7/27,"['虎', '猪', '兔', '猴']",猴,True,30,-180,0
87,2025/7/28,"['虎', '龙', '马', '兔']",马,True,30,-150,0
88,2025/7/29,"['虎', '龙', '兔', '蛇']",鸡,False,-16,-166,1
89,2025/7/30,"['虎', '兔', '龙', '猪']",蛇,False,-16,-182,2
90,2025/7/31,"['兔', '虎', '龙', '猪']",兔,True,30,-152,0
91,2025/8/1,"['虎', '龙', '猪', '马']",龙,True,30,-122,0
92,2025/8/2,"['虎', '猪', '羊', '马']",鼠,False,-16,-138,1
93,2025/8/3,"['虎', '猪', '羊', '马']",羊,True,30,-108,0
94,2025/8/4,"['虎', '猪', '龙', '狗']",兔,False,-16,-124,1
95,2025/8/5,"['虎', '猪', '狗', '牛']",鸡,False,-16,-140,2
96,2025/8/6,"['虎', '猪', '狗', '龙']",羊,False,-16,-156,3
97,2025/8/7,"['虎', '狗', '猪', '龙']",猴,False,-16,-172,4
98,2025/8/8,"['虎', '狗', '猪', '马']",羊,False,-16,-188,5
99,2025/8/9,"['虎', '猪', '狗', '兔']",鸡,False,-16,-204,6
100,2025/8/10,"['虎', '猪', '牛', '狗']",狗,True,30,-174,0
101,2025/8/11,"['虎', '猪', '牛', '马']",狗,False,-16,-190,1
102,2025/8/12,"['虎', '猪', '牛', '马']",猪,True,30,-160,0
103,2025/8/13,"['虎', '牛', '马', '龙']",蛇,False,-16,-176,1
104,2025/8/14,"['虎', '牛', '马', '龙']",虎,True,30,-146,0
105,2025/8/15,"['牛', '马', '龙', '兔']",狗,False,-16,-162,1
106,2025/8/16,"['牛', '马', '龙', '兔']",猪,False,-16,-178,2
107,2025/8/17,"['牛', '龙', '马', '兔']",虎,False,-16,-194,3
108,2025/8/18,"['牛', '马', '龙', '兔']",兔,True,30,-164,0
109,2025/8/19,"['牛', '马', '龙', '猪']",龙,True,30,-134,0
